Date,Name,Brand,Meal,Quantity,Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Zinc (mg),Vitamin A (µg),Vitamin C (mg),Vitamin D (µg),B1 Thiamine (mg),B2 Riboflavin (mg),B3 Niacin (mg),B6 (mg),B9 Folate (µg),Notes
2026-05-30,"Amaranth seed, black",IFCT 2017,Breakfast,100,g,356.1,14.59,59.98,5.74,7.02,2.7,433,181,9.33,325,374,2.66,0,0,58.67,0.04,0.04,0.45,0.5,27.44,IFCT2017:A001 | Group: Cereals and Millets
2026-05-30,"Amaranth seed, pale brown",IFCT 2017,Breakfast,100,g,355.9,13.27,61.46,5.56,7.47,2.81,413,162,8.02,270,412,2.52,0,0,53.98,0.04,0.04,0.52,0.33,24.65,IFCT2017:A002 | Group: Cereals and Millets
2026-05-30,Bajra,IFCT 2017,Breakfast,100,g,348.0,10.96,61.78,5.43,11.49,4.11,365,27.35,6.42,124,289,2.76,28.23,0,5.65,0.25,0.2,0.86,0.27,36.11,IFCT2017:A003 | Group: Cereals and Millets
2026-05-30,Barley,IFCT 2017,Breakfast,100,g,315.7,10.94,61.29,1.3,15.64,7.56,268,28.64,1.56,48.97,178,1.5,0,0,0,0.36,0.18,2.84,0.31,31.58,IFCT2017:A004 | Group: Cereals and Millets
2026-05-30,Jowar,IFCT 2017,Breakfast,100,g,334.1,9.97,67.68,1.73,10.22,5.42,328,27.6,3.95,133,274,1.96,8.29,0,3.96,0.35,0.14,2.1,0.28,39.42,IFCT2017:A005 | Group: Cereals and Millets
2026-05-30,"Maize, dry",IFCT 2017,Breakfast,100,g,334.1,8.8,64.77,3.77,12.24,4.44,291,8.91,2.49,145,279,2.27,296,0,33.6,0.33,0.09,2.69,0.34,25.81,IFCT2017:A006 | Group: Cereals and Millets
2026-05-30,"Maize, tender, local",IFCT 2017,Breakfast,100,g,120.0,3.57,22.69,1.4,3.67,2.24,167,6.35,0.71,47.62,163,0.97,73.53,4.26,42.34,0.17,0.12,1.13,0.45,62.96,IFCT2017:A007 | Group: Cereals and Millets
2026-05-30,"Maize, tender, sweet",IFCT 2017,Breakfast,100,g,96.8,4.16,16.42,1.35,3.3,2.23,297,6.37,0.54,36.51,121,0.77,105.42,5.72,16.94,0.1,0.14,1.14,0.38,59.71,IFCT2017:A008 | Group: Cereals and Millets
2026-05-30,Quinoa,IFCT 2017,Breakfast,100,g,328.4,13.11,53.65,5.5,14.66,4.5,474,198,7.51,119,212,3.31,5.12,0,0,0.83,0.22,1.7,0.21,173,IFCT2017:A009 | Group: Cereals and Millets
2026-05-30,Ragi,IFCT 2017,Breakfast,100,g,320.7,7.16,66.82,1.92,11.18,4.75,443,364,4.62,146,210,2.53,1.53,0,41.46,0.37,0.17,1.34,0.05,34.66,IFCT2017:A010 | Group: Cereals and Millets
2026-05-30,"Rice, flakes",IFCT 2017,Breakfast,100,g,353.7,7.44,76.75,1.14,3.46,2.58,148,9.19,4.46,77.92,195,1.49,0,0,0,0.12,0.04,1.6,0.02,8.46,IFCT2017:A011 | Group: Cereals and Millets
2026-05-30,"Rice, puffed",IFCT 2017,Breakfast,100,g,361.9,7.47,77.68,1.62,2.56,3.69,140,15.09,4.55,64.59,152,1.45,0,0,0,0.11,0.04,1.87,0.07,0,IFCT2017:A012 | Group: Cereals and Millets
2026-05-30,"Rice, raw, brown",IFCT 2017,Breakfast,100,g,353.7,9.16,74.8,1.24,4.43,3.64,199,10.93,1.02,93.91,267,1.68,0,0,0,0.27,0.06,3.4,0.37,11.51,IFCT2017:A013 | Group: Cereals and Millets
2026-05-30,"Rice, parboiled, milled",IFCT 2017,Breakfast,100,g,351.6,7.81,77.16,0.55,3.74,3.16,142,8.11,0.72,26.72,140,1.08,0,0,0,0.17,0.06,2.51,0.22,9.75,IFCT2017:A014 | Group: Cereals and Millets
2026-05-30,"Rice, raw, milled",IFCT 2017,Breakfast,100,g,356.4,7.94,78.24,0.52,2.81,2.34,108,7.49,0.65,19.3,96,1.21,0,0,0,0.05,0.05,1.69,0.12,9.32,IFCT2017:A015 | Group: Cereals and Millets
2026-05-30,Samai,IFCT 2017,Breakfast,100,g,346.3,10.13,65.55,3.89,7.72,4.77,105,16.06,1.26,91.41,130,1.82,1.91,0,3.75,0.26,0.05,1.29,0.04,36.2,IFCT2017:A016 | Group: Cereals and Millets
2026-05-30,Varagu,IFCT 2017,Breakfast,100,g,331.7,8.92,66.19,2.55,6.39,3.35,94,15.27,2.34,122,101,1.65,1.41,0,0,0.29,0.2,1.49,0.07,39.49,IFCT2017:A017 | Group: Cereals and Millets
2026-05-30,"Wheat flour, refined",IFCT 2017,Breakfast,100,g,351.8,10.36,74.27,0.76,2.76,1.54,148,20.4,1.77,30.69,110,0.88,1.97,0,6.73,0.15,0.06,0.77,0.08,16.25,IFCT2017:A018 | Group: Cereals and Millets
2026-05-30,"Wheat flour, atta",IFCT 2017,Breakfast,100,g,320.3,10.57,64.17,1.53,11.36,2.04,311,30.94,4.1,125,315,2.85,2.67,0,13.43,0.42,0.15,2.37,0.25,29.22,IFCT2017:A019 | Group: Cereals and Millets
2026-05-30,"Wheat, whole",IFCT 2017,Breakfast,100,g,321.9,10.59,64.72,1.47,11.23,2.5,366,39.36,3.97,125,315,2.85,3.03,0,17.49,0.46,0.15,2.68,0.26,30.09,IFCT2017:A020 | Group: Cereals and Millets
2026-05-30,"Wheat, bulgur",IFCT 2017,Breakfast,100,g,341.8,10.84,69.06,1.45,8.81,2.09,330,27.09,3.86,116,245,1.97,2.55,0,6.27,0.24,0.12,2.05,0.24,26.3,IFCT2017:A021 | Group: Cereals and Millets
2026-05-30,"Wheat, semolina",IFCT 2017,Breakfast,100,g,333.7,11.38,68.43,0.74,9.72,2.31,284,29.38,2.98,37.89,119,2.13,1.6,0,8.19,0.29,0.04,1.13,0.11,25.68,IFCT2017:A022 | Group: Cereals and Millets
2026-05-30,"Wheat, vermicelli",IFCT 2017,Breakfast,100,g,332.7,9.7,70.39,0.45,9.28,2.71,163,19.42,2.02,34.18,99,0.83,1.68,0,4.06,0.13,0.01,0.86,0.03,14.35,IFCT2017:A023 | Group: Cereals and Millets
2026-05-30,"Wheat, vermicelli, roasted",IFCT 2017,Breakfast,100,g,340.1,10.37,71.42,0.49,9.55,3.43,177,22.63,2.09,39.03,107,0.88,0.92,0,3.21,0.12,0.01,0.67,0.03,13.21,IFCT2017:A024 | Group: Cereals and Millets
2026-05-30,"Bengal gram, dal",IFCT 2017,Breakfast,100,g,329.1,21.55,46.72,5.31,15.15,20.83,957,46.32,6.08,118,325,3.65,165,0,1.75,0.35,0.15,1.87,0.19,182,IFCT2017:B001 | Group: Grain Legumes
2026-05-30,"Bengal gram, whole",IFCT 2017,Breakfast,100,g,287.0,18.77,39.56,5.11,25.22,26.56,935,150,6.78,160,267,3.37,172,0,1.93,0.37,0.24,2.1,0.36,233,IFCT2017:B002 | Group: Grain Legumes
2026-05-30,"Black gram, dal",IFCT 2017,Breakfast,100,g,324.1,23.06,51,1.69,11.93,18.88,1157,55.67,4.67,173,375,3,10.11,0,8.42,0.21,0.09,1.76,0.22,88.75,IFCT2017:B003 | Group: Grain Legumes
2026-05-30,"Black gram, whole",IFCT 2017,Breakfast,100,g,291.3,21.97,43.99,1.58,20.41,26.8,1093,86.18,5.97,190,345,3.05,12.8,0,16.84,0.32,0.11,1.85,0.53,134,IFCT2017:B004 | Group: Grain Legumes
2026-05-30,"Cowpea, brown",IFCT 2017,Breakfast,100,g,320.3,20.36,54.62,1.15,11.54,13.68,1241,81.73,5.9,213,372,3.41,7.08,0,0.92,0.33,0.09,1.64,0.3,231,IFCT2017:B005 | Group: Grain Legumes
2026-05-30,"Cowpea, white",IFCT 2017,Breakfast,100,g,320.3,21.25,53.77,1.14,11.7,12.52,1243,84.1,5.04,213,378,3.57,8.21,0,0.93,0.34,0.09,1.51,0.26,249,IFCT2017:B006 | Group: Grain Legumes
2026-05-30,"Field bean, black",IFCT 2017,Breakfast,100,g,276.1,19.93,43.46,0.92,23.4,1.35,1272,78.16,4.5,197,457,2.42,0,0,4.35,0.35,0.07,1.88,0.35,291,IFCT2017:B007 | Group: Grain Legumes
2026-05-30,"Field bean, brown",IFCT 2017,Breakfast,100,g,283.0,19.9,45.24,0.98,22.4,1.41,1245,75.2,4.99,173,429,2.44,0,0,4.24,0.32,0.07,2.04,0.37,292,IFCT2017:B008 | Group: Grain Legumes
2026-05-30,"Field bean, white",IFCT 2017,Breakfast,100,g,280.4,19.84,44.53,0.94,22.99,1.7,1360,77.24,5.5,190,448,2.8,0,0,4.26,0.37,0.07,1.96,0.38,289,IFCT2017:B009 | Group: Grain Legumes
2026-05-30,"Green gram, dal",IFCT 2017,Breakfast,100,g,325.8,23.88,52.59,1.35,9.37,10.14,1268,43.13,3.93,155,416,2.49,122,0,2.05,0.35,0.12,1.84,0.19,92.11,IFCT2017:B010 | Group: Grain Legumes
2026-05-30,"Green gram, whole",IFCT 2017,Breakfast,100,g,293.7,22.53,46.13,1.14,17.04,12.48,1177,92.43,4.89,198,353,2.67,137,0,3.15,0.45,0.27,2.16,0.35,145,IFCT2017:B011 | Group: Grain Legumes
2026-05-30,"Horse gram, whole",IFCT 2017,Breakfast,100,g,329.6,21.73,57.24,0.62,7.88,12.14,1065,269,8.76,152,298,2.71,58.57,0,1.8,0.32,0.24,1.82,0.21,163,IFCT2017:B012 | Group: Grain Legumes
2026-05-30,"Lentil, dal",IFCT 2017,Breakfast,100,g,322.4,24.35,52.53,0.75,10.43,10.27,786,44.32,7.06,74.69,310,3.61,6.34,0,1.31,0.34,0.16,1.81,0.18,49.99,IFCT2017:B013 | Group: Grain Legumes
2026-05-30,"Lentil, whole, brown",IFCT 2017,Breakfast,100,g,299.0,22.49,48.47,0.64,16.82,11.2,756,76.13,7.57,101,274,3.6,10.29,0,14.52,0.4,0.22,2.54,0.46,132,IFCT2017:B014 | Group: Grain Legumes
